,Review_ID,Rating_Submit_Dt,Words
0,R1,2022-05-26T12:58:00.430Z,im
0,R1,2022-05-26T12:58:00.430Z,really
0,R1,2022-05-26T12:58:00.430Z,confused
0,R1,2022-05-26T12:58:00.430Z,left
0,R1,2022-05-26T12:58:00.430Z,least
0,R1,2022-05-26T12:58:00.430Z,min
0,R1,2022-05-26T12:58:00.430Z,shower
0,R1,2022-05-26T12:58:00.430Z,cap
0,R1,2022-05-26T12:58:00.430Z,towel
0,R1,2022-05-26T12:58:00.430Z,extra
0,R1,2022-05-26T12:58:00.430Z,heat
0,R1,2022-05-26T12:58:00.430Z,rinsed
0,R1,2022-05-26T12:58:00.430Z,surprised
0,R1,2022-05-26T12:58:00.430Z,dry
0,R1,2022-05-26T12:58:00.430Z,stiff
0,R1,2022-05-26T12:58:00.430Z,hair
0,R1,2022-05-26T12:58:00.430Z,felt
0,R1,2022-05-26T12:58:00.430Z,feel
0,R1,2022-05-26T12:58:00.430Z,moisturized
0,R1,2022-05-26T12:58:00.430Z,blow
0,R1,2022-05-26T12:58:00.430Z,dried
0,R1,2022-05-26T12:58:00.430Z,low
0,R1,2022-05-26T12:58:00.430Z,setting
0,R1,2022-05-26T12:58:00.430Z,normally
0,R1,2022-05-26T12:58:00.430Z,applying
0,R1,2022-05-26T12:58:00.430Z,serum
0,R1,2022-05-26T12:58:00.430Z,smoother
0,R1,2022-05-26T12:58:00.430Z,hair
0,R1,2022-05-26T12:58:00.430Z,puffy
0,R1,2022-05-26T12:58:00.430Z,frizzy
0,R1,2022-05-26T12:58:00.430Z,decided
0,R1,2022-05-26T12:58:00.430Z,flat
0,R1,2022-05-26T12:58:00.430Z,iron
0,R1,2022-05-26T12:58:00.430Z,ended
0,R1,2022-05-26T12:58:00.430Z,passing
0,R1,2022-05-26T12:58:00.430Z,whole
0,R1,2022-05-26T12:58:00.430Z,head
0,R1,2022-05-26T12:58:00.430Z,twice
0,R1,2022-05-26T12:58:00.430Z,pretty
0,R1,2022-05-26T12:58:00.430Z,frizz
0,R1,2022-05-26T12:58:00.430Z,free
0,R1,2022-05-26T12:58:00.430Z,following
0,R1,2022-05-26T12:58:00.430Z,oils
0,R1,2022-05-26T12:58:00.430Z,im
0,R1,2022-05-26T12:58:00.430Z,sure
0,R1,2022-05-26T12:58:00.430Z,one
0,R1,2022-05-26T12:58:00.430Z,expect
0,R1,2022-05-26T12:58:00.430Z,product
0,R1,2022-05-26T12:58:00.430Z,typically
0,R1,2022-05-26T12:58:00.430Z,use
0,R1,2022-05-26T12:58:00.430Z,strength
0,R1,2022-05-26T12:58:00.430Z,repair
0,R1,2022-05-26T12:58:00.430Z,mask
0,R1,2022-05-26T12:58:00.430Z,shea
0,R1,2022-05-26T12:58:00.430Z,moisture
0,R1,2022-05-26T12:58:00.430Z,leaves
0,R1,2022-05-26T12:58:00.430Z,soft
0,R1,2022-05-26T12:58:00.430Z,hydrated
0,R1,2022-05-26T12:58:00.430Z,impressed
0,R1,2022-05-26T12:58:00.430Z,overall
0,R1,2022-05-26T12:58:00.430Z,missing
0,R1,2022-05-26T12:58:00.430Z,something
1,R2,2022-05-26T12:58:00.430Z,makes
1,R2,2022-05-26T12:58:00.430Z,hair
1,R2,2022-05-26T12:58:00.430Z,feel
1,R2,2022-05-26T12:58:00.430Z,soft
1,R2,2022-05-26T12:58:00.430Z,love
2,R3,2022-05-26T12:58:00.430Z,dont
2,R3,2022-05-26T12:58:00.430Z,see
2,R3,2022-05-26T12:58:00.430Z,much
2,R3,2022-05-26T12:58:00.430Z,difference
2,R3,2022-05-26T12:58:00.430Z,using
2,R3,2022-05-26T12:58:00.430Z,product
2,R3,2022-05-26T12:58:00.430Z,curls
2,R3,2022-05-26T12:58:00.430Z,used
2,R3,2022-05-26T12:58:00.430Z,directed
2,R3,2022-05-26T12:58:00.430Z,texture
2,R3,2022-05-26T12:58:00.430Z,smell
2,R3,2022-05-26T12:58:00.430Z,mask
2,R3,2022-05-26T12:58:00.430Z,isnt
2,R3,2022-05-26T12:58:00.430Z,anything
2,R3,2022-05-26T12:58:00.430Z,special
2,R3,2022-05-26T12:58:00.430Z,feel
2,R3,2022-05-26T12:58:00.430Z,indulgent
2,R3,2022-05-26T12:58:00.430Z,like
2,R3,2022-05-26T12:58:00.430Z,would
2,R3,2022-05-26T12:58:00.430Z,expect
2,R3,2022-05-26T12:58:00.430Z,something
2,R3,2022-05-26T12:58:00.430Z,price
2,R3,2022-05-26T12:58:00.430Z,point
2,R3,2022-05-26T12:58:00.430Z,ten
2,R3,2022-05-26T12:58:00.430Z,minutes
2,R3,2022-05-26T12:58:00.430Z,also
2,R3,2022-05-26T12:58:00.430Z,long
2,R3,2022-05-26T12:58:00.430Z,time
2,R3,2022-05-26T12:58:00.430Z,stand
2,R3,2022-05-26T12:58:00.430Z,around
2,R3,2022-05-26T12:58:00.430Z,waiting
2,R3,2022-05-26T12:58:00.430Z,shower
2,R3,2022-05-26T12:58:00.430Z,work
2,R3,2022-05-26T12:58:00.430Z,like
2,R3,2022-05-26T12:58:00.430Z,manuka
2,R3,2022-05-26T12:58:00.430Z,honey
2,R3,2022-05-26T12:58:00.430Z,yogurt
2,R3,2022-05-26T12:58:00.430Z,hair
2,R3,2022-05-26T12:58:00.430Z,mask
2,R3,2022-05-26T12:58:00.430Z,shea
2,R3,2022-05-26T12:58:00.430Z,moisture
2,R3,2022-05-26T12:58:00.430Z,much
2,R3,2022-05-26T12:58:00.430Z,better
2,R3,2022-05-26T12:58:00.430Z,cheaper
2,R3,2022-05-26T12:58:00.430Z,smells
2,R3,2022-05-26T12:58:00.430Z,better
2,R3,2022-05-26T12:58:00.430Z,works
2,R3,2022-05-26T12:58:00.430Z,within
2,R3,2022-05-26T12:58:00.430Z,minutes
2,R3,2022-05-26T12:58:00.430Z,regret
2,R3,2022-05-26T12:58:00.430Z,purchase
2,R3,2022-05-26T12:58:00.430Z,expensive
2,R3,2022-05-26T12:58:00.430Z,mean
2,R3,2022-05-26T12:58:00.430Z,better
3,R4,2022-05-26T12:58:00.430Z,horrible
3,R4,2022-05-26T12:58:00.430Z,product
3,R4,2022-05-26T12:58:00.430Z,didnt
3,R4,2022-05-26T12:58:00.430Z,condition
3,R4,2022-05-26T12:58:00.430Z,made
3,R4,2022-05-26T12:58:00.430Z,hair
3,R4,2022-05-26T12:58:00.430Z,tangled
3,R4,2022-05-26T12:58:00.430Z,feel
3,R4,2022-05-26T12:58:00.430Z,like
3,R4,2022-05-26T12:58:00.430Z,straw
3,R4,2022-05-26T12:58:00.430Z,save
3,R4,2022-05-26T12:58:00.430Z,money
3,R4,2022-05-26T12:58:00.430Z,ill
3,R4,2022-05-26T12:58:00.430Z,returning
3,R4,2022-05-26T12:58:00.430Z,asap
3,R4,2022-05-26T12:58:00.430Z,dont
3,R4,2022-05-26T12:58:00.430Z,see
3,R4,2022-05-26T12:58:00.430Z,anyone
3,R4,2022-05-26T12:58:00.430Z,like
3,R4,2022-05-26T12:58:00.430Z,product
3,R4,2022-05-26T12:58:00.430Z,thought
3,R4,2022-05-26T12:58:00.430Z,would
3,R4,2022-05-26T12:58:00.430Z,live
3,R4,2022-05-26T12:58:00.430Z,hype
3,R4,2022-05-26T12:58:00.430Z,reviews
3,R4,2022-05-26T12:58:00.430Z,trying
3,R4,2022-05-26T12:58:00.430Z,im
3,R4,2022-05-26T12:58:00.430Z,pretty
3,R4,2022-05-26T12:58:00.430Z,sure
3,R4,2022-05-26T12:58:00.430Z,delete
3,R4,2022-05-26T12:58:00.430Z,bad
3,R4,2022-05-26T12:58:00.430Z,reviews
3,R4,2022-05-26T12:58:00.430Z,make
3,R4,2022-05-26T12:58:00.430Z,sure
3,R4,2022-05-26T12:58:00.430Z,bad
3,R4,2022-05-26T12:58:00.430Z,reviews
3,R4,2022-05-26T12:58:00.430Z,get
3,R4,2022-05-26T12:58:00.430Z,published
4,R5,2022-05-26T12:58:00.430Z,amazing
4,R5,2022-05-26T12:58:00.430Z,genuinely
4,R5,2022-05-26T12:58:00.430Z,obsessed
4,R5,2022-05-26T12:58:00.430Z,everyone
4,R5,2022-05-26T12:58:00.430Z,needs
4,R5,2022-05-26T12:58:00.430Z,good
4,R5,2022-05-26T12:58:00.430Z,trust
4,R5,2022-05-26T12:58:00.430Z,one
5,R6,2022-05-26T12:58:00.430Z,leaves
5,R6,2022-05-26T12:58:00.430Z,hair
5,R6,2022-05-26T12:58:00.430Z,soft
5,R6,2022-05-26T12:58:00.430Z,shiny
5,R6,2022-05-26T12:58:00.430Z,minimal
5,R6,2022-05-26T12:58:00.430Z,frizz
5,R6,2022-05-26T12:58:00.430Z,waited
5,R6,2022-05-26T12:58:00.430Z,try
5,R6,2022-05-26T12:58:00.430Z,im
5,R6,2022-05-26T12:58:00.430Z,glad
5,R6,2022-05-26T12:58:00.430Z,finally
5,R6,2022-05-26T12:58:00.430Z,youre
5,R6,2022-05-26T12:58:00.430Z,debating
5,R6,2022-05-26T12:58:00.430Z,buy
6,R7,2022-05-26T12:58:00.430Z,really
6,R7,2022-05-26T12:58:00.430Z,love
6,R7,2022-05-26T12:58:00.430Z,products
6,R7,2022-05-26T12:58:00.430Z,line
6,R7,2022-05-26T12:58:00.430Z,especially
6,R7,2022-05-26T12:58:00.430Z,one
6,R7,2022-05-26T12:58:00.430Z,wavy
6,R7,2022-05-26T12:58:00.430Z,thick
6,R7,2022-05-26T12:58:00.430Z,frizzy
6,R7,2022-05-26T12:58:00.430Z,coarse
6,R7,2022-05-26T12:58:00.430Z,hair
6,R7,2022-05-26T12:58:00.430Z,often
6,R7,2022-05-26T12:58:00.430Z,times
6,R7,2022-05-26T12:58:00.430Z,struggle
6,R7,2022-05-26T12:58:00.430Z,make
6,R7,2022-05-26T12:58:00.430Z,feel
6,R7,2022-05-26T12:58:00.430Z,soft
6,R7,2022-05-26T12:58:00.430Z,become
6,R7,2022-05-26T12:58:00.430Z,really
6,R7,2022-05-26T12:58:00.430Z,damaged
6,R7,2022-05-26T12:58:00.430Z,heat
6,R7,2022-05-26T12:58:00.430Z,use
6,R7,2022-05-26T12:58:00.430Z,skeptical
6,R7,2022-05-26T12:58:00.430Z,hype
6,R7,2022-05-26T12:58:00.430Z,get
6,R7,2022-05-26T12:58:00.430Z,hair
6,R7,2022-05-26T12:58:00.430Z,feel
6,R7,2022-05-26T12:58:00.430Z,overall
6,R7,2022-05-26T12:58:00.430Z,much
6,R7,2022-05-26T12:58:00.430Z,healthy
6,R7,2022-05-26T12:58:00.430Z,shinny
6,R7,2022-05-26T12:58:00.430Z,use
6,R7,2022-05-26T12:58:00.430Z,week
6,R7,2022-05-26T12:58:00.430Z,follow
6,R7,2022-05-26T12:58:00.430Z,condition
6,R7,2022-05-26T12:58:00.430Z,line
7,R8,2022-05-26T12:58:00.430Z,didnt
7,R8,2022-05-26T12:58:00.430Z,really
7,R8,2022-05-26T12:58:00.430Z,give
7,R8,2022-05-26T12:58:00.430Z,hair
7,R8,2022-05-26T12:58:00.430Z,slip
7,R8,2022-05-26T12:58:00.430Z,expect
7,R8,2022-05-26T12:58:00.430Z,good
7,R8,2022-05-26T12:58:00.430Z,deep
7,R8,2022-05-26T12:58:00.430Z,conditioner
7,R8,2022-05-26T12:58:00.430Z,hair
7,R8,2022-05-26T12:58:00.430Z,felt
7,R8,2022-05-26T12:58:00.430Z,softer
7,R8,2022-05-26T12:58:00.430Z,use
7,R8,2022-05-26T12:58:00.430Z,didnt
7,R8,2022-05-26T12:58:00.430Z,make
7,R8,2022-05-26T12:58:00.430Z,big
7,R8,2022-05-26T12:58:00.430Z,difference
8,R9,2022-05-26T12:58:00.430Z,heard
8,R9,2022-05-26T12:58:00.430Z,mask
8,R9,2022-05-26T12:58:00.430Z,several
8,R9,2022-05-26T12:58:00.430Z,favorite
8,R9,2022-05-26T12:58:00.430Z,curly
8,R9,2022-05-26T12:58:00.430Z,girl
8,R9,2022-05-26T12:58:00.430Z,bloggers
8,R9,2022-05-26T12:58:00.430Z,try
8,R9,2022-05-26T12:58:00.430Z,disappoint
8,R9,2022-05-26T12:58:00.430Z,trail
8,R9,2022-05-26T12:58:00.430Z,size
8,R9,2022-05-26T12:58:00.430Z,lasted
8,R9,2022-05-26T12:58:00.430Z,wash
8,R9,2022-05-26T12:58:00.430Z,days
8,R9,2022-05-26T12:58:00.430Z,get
8,R9,2022-05-26T12:58:00.430Z,full
8,R9,2022-05-26T12:58:00.430Z,size
8,R9,2022-05-26T12:58:00.430Z,transitioning
8,R9,2022-05-26T12:58:00.430Z,hair
8,R9,2022-05-26T12:58:00.430Z,smells
8,R9,2022-05-26T12:58:00.430Z,great
8,R9,2022-05-26T12:58:00.430Z,left
8,R9,2022-05-26T12:58:00.430Z,hair
8,R9,2022-05-26T12:58:00.430Z,shiny
8,R9,2022-05-26T12:58:00.430Z,moisturized
9,R10,2022-05-26T12:58:00.430Z,literally
9,R10,2022-05-26T12:58:00.430Z,dried
9,R10,2022-05-26T12:58:00.430Z,hair
9,R10,2022-05-26T12:58:00.430Z,hair
9,R10,2022-05-26T12:58:00.430Z,tangled
9,R10,2022-05-26T12:58:00.430Z,crispy
9,R10,2022-05-26T12:58:00.430Z,plain
9,R10,2022-05-26T12:58:00.430Z,god
9,R10,2022-05-26T12:58:00.430Z,awful
10,R11,2022-05-14T22:28:38.604Z,didnt
10,R11,2022-05-14T22:28:38.604Z,condition
10,R11,2022-05-14T22:28:38.604Z,hair
10,R11,2022-05-14T22:28:38.604Z,shower
10,R11,2022-05-14T22:28:38.604Z,let
10,R11,2022-05-14T22:28:38.604Z,alone
10,R11,2022-05-14T22:28:38.604Z,afterwards
11,R12,2022-05-14T22:28:38.604Z,product
11,R12,2022-05-14T22:28:38.604Z,left
11,R12,2022-05-14T22:28:38.604Z,hair
11,R12,2022-05-14T22:28:38.604Z,tangled
11,R12,2022-05-14T22:28:38.604Z,dry
11,R12,2022-05-14T22:28:38.604Z,like
11,R12,2022-05-14T22:28:38.604Z,straw
11,R12,2022-05-14T22:28:38.604Z,conditioning
11,R12,2022-05-14T22:28:38.604Z,hair
11,R12,2022-05-14T22:28:38.604Z,mess
11,R12,2022-05-14T22:28:38.604Z,dont
11,R12,2022-05-14T22:28:38.604Z,see
11,R12,2022-05-14T22:28:38.604Z,good
11,R12,2022-05-14T22:28:38.604Z,reviews
11,R12,2022-05-14T22:28:38.604Z,save
11,R12,2022-05-14T22:28:38.604Z,money
11,R12,2022-05-14T22:28:38.604Z,seriously
11,R12,2022-05-14T22:28:38.604Z,took
11,R12,2022-05-14T22:28:38.604Z,forever
11,R12,2022-05-14T22:28:38.604Z,get
11,R12,2022-05-14T22:28:38.604Z,hair
11,R12,2022-05-14T22:28:38.604Z,back
11,R12,2022-05-14T22:28:38.604Z,normal
12,R13,2022-05-14T22:28:38.604Z,made
12,R13,2022-05-14T22:28:38.604Z,hair
12,R13,2022-05-14T22:28:38.604Z,daughters
12,R13,2022-05-14T22:28:38.604Z,ha
12,R13,2022-05-14T22:28:38.604Z,tangled
12,R13,2022-05-14T22:28:38.604Z,stiff
12,R13,2022-05-14T22:28:38.604Z,dry
13,R14,2022-05-14T22:28:38.604Z,love
13,R14,2022-05-14T22:28:38.604Z,lot
13,R14,2022-05-14T22:28:38.604Z,makes
13,R14,2022-05-14T22:28:38.604Z,hair
13,R14,2022-05-14T22:28:38.604Z,feel
13,R14,2022-05-14T22:28:38.604Z,soft
13,R14,2022-05-14T22:28:38.604Z,hydrated
13,R14,2022-05-14T22:28:38.604Z,even
13,R14,2022-05-14T22:28:38.604Z,though
13,R14,2022-05-14T22:28:38.604Z,bleached
13,R14,2022-05-14T22:28:38.604Z,hair
14,R15,2022-05-14T22:28:38.604Z,ive
14,R15,2022-05-14T22:28:38.604Z,used
14,R15,2022-05-14T22:28:38.604Z,one
14,R15,2022-05-14T22:28:38.604Z,time
14,R15,2022-05-14T22:28:38.604Z,far
14,R15,2022-05-14T22:28:38.604Z,saw
14,R15,2022-05-14T22:28:38.604Z,felt
14,R15,2022-05-14T22:28:38.604Z,difference
14,R15,2022-05-14T22:28:38.604Z,right
14,R15,2022-05-14T22:28:38.604Z,away
14,R15,2022-05-14T22:28:38.604Z,ive
14,R15,2022-05-14T22:28:38.604Z,used
14,R15,2022-05-14T22:28:38.604Z,many
14,R15,2022-05-14T22:28:38.604Z,different
14,R15,2022-05-14T22:28:38.604Z,hair
14,R15,2022-05-14T22:28:38.604Z,masks
14,R15,2022-05-14T22:28:38.604Z,deff
14,R15,2022-05-14T22:28:38.604Z,one
14,R15,2022-05-14T22:28:38.604Z,favorites
14,R15,2022-05-14T22:28:38.604Z,better
14,R15,2022-05-14T22:28:38.604Z,olaplex
15,R16,2022-05-14T22:28:38.604Z,didnt
15,R16,2022-05-14T22:28:38.604Z,see
15,R16,2022-05-14T22:28:38.604Z,difference
15,R16,2022-05-14T22:28:38.604Z,using
16,R17,2022-05-14T22:28:38.604Z,purchased
16,R17,2022-05-14T22:28:38.604Z,oz
16,R17,2022-05-14T22:28:38.604Z,container
16,R17,2022-05-14T22:28:38.604Z,briogeo
16,R17,2022-05-14T22:28:38.604Z,dont
16,R17,2022-05-14T22:28:38.604Z,despair
16,R17,2022-05-14T22:28:38.604Z,repair
16,R17,2022-05-14T22:28:38.604Z,deep
16,R17,2022-05-14T22:28:38.604Z,conditioning
16,R17,2022-05-14T22:28:38.604Z,mask
16,R17,2022-05-14T22:28:38.604Z,product
16,R17,2022-05-14T22:28:38.604Z,use
16,R17,2022-05-14T22:28:38.604Z,shampooing
16,R17,2022-05-14T22:28:38.604Z,rub
16,R17,2022-05-14T22:28:38.604Z,let
16,R17,2022-05-14T22:28:38.604Z,ten
16,R17,2022-05-14T22:28:38.604Z,minutes
16,R17,2022-05-14T22:28:38.604Z,rinse
16,R17,2022-05-14T22:28:38.604Z,away
16,R17,2022-05-14T22:28:38.604Z,soft
16,R17,2022-05-14T22:28:38.604Z,lovely
16,R17,2022-05-14T22:28:38.604Z,hair
16,R17,2022-05-14T22:28:38.604Z,smell
16,R17,2022-05-14T22:28:38.604Z,could
16,R17,2022-05-14T22:28:38.604Z,use
16,R17,2022-05-14T22:28:38.604Z,improvement
16,R17,2022-05-14T22:28:38.604Z,didnt
16,R17,2022-05-14T22:28:38.604Z,care
16,R17,2022-05-14T22:28:38.604Z,part
16,R17,2022-05-14T22:28:38.604Z,product
16,R17,2022-05-14T22:28:38.604Z,works
16,R17,2022-05-14T22:28:38.604Z,well
16,R17,2022-05-14T22:28:38.604Z,get
17,R18,2022-05-14T22:28:38.604Z,good
17,R18,2022-05-14T22:28:38.604Z,hair
17,R18,2022-05-14T22:28:38.604Z,mask
17,R18,2022-05-14T22:28:38.604Z,leaves
17,R18,2022-05-14T22:28:38.604Z,soft
17,R18,2022-05-14T22:28:38.604Z,shiny
17,R18,2022-05-14T22:28:38.604Z,first
17,R18,2022-05-14T22:28:38.604Z,scent
17,R18,2022-05-14T22:28:38.604Z,mild
17,R18,2022-05-14T22:28:38.604Z,overwhelming
17,R18,2022-05-14T22:28:38.604Z,reason
17,R18,2022-05-14T22:28:38.604Z,doesnt
17,R18,2022-05-14T22:28:38.604Z,reach
17,R18,2022-05-14T22:28:38.604Z,stars
17,R18,2022-05-14T22:28:38.604Z,application
17,R18,2022-05-14T22:28:38.604Z,time
17,R18,2022-05-14T22:28:38.604Z,minutes
17,R18,2022-05-14T22:28:38.604Z,applying
17,R18,2022-05-14T22:28:38.604Z,shampoo
17,R18,2022-05-14T22:28:38.604Z,seems
17,R18,2022-05-14T22:28:38.604Z,much
17,R18,2022-05-14T22:28:38.604Z,conditioner
17,R18,2022-05-14T22:28:38.604Z,also
17,R18,2022-05-14T22:28:38.604Z,think
17,R18,2022-05-14T22:28:38.604Z,better
17,R18,2022-05-14T22:28:38.604Z,masks
17,R18,2022-05-14T22:28:38.604Z,market
18,R19,2022-05-14T22:28:38.604Z,absolutely
18,R19,2022-05-14T22:28:38.604Z,need
18,R19,2022-05-14T22:28:38.604Z,bit
18,R19,2022-05-14T22:28:38.604Z,pricier
18,R19,2022-05-14T22:28:38.604Z,side
18,R19,2022-05-14T22:28:38.604Z,honestly
18,R19,2022-05-14T22:28:38.604Z,absolutely
18,R19,2022-05-14T22:28:38.604Z,worth
18,R19,2022-05-14T22:28:38.604Z,cant
18,R19,2022-05-14T22:28:38.604Z,imagine
18,R19,2022-05-14T22:28:38.604Z,stocked
19,R20,2022-05-14T22:28:38.604Z,honestly
19,R20,2022-05-14T22:28:38.604Z,feel
19,R20,2022-05-14T22:28:38.604Z,like
19,R20,2022-05-14T22:28:38.604Z,dried
19,R20,2022-05-14T22:28:38.604Z,hair
19,R20,2022-05-14T22:28:38.604Z,really
19,R20,2022-05-14T22:28:38.604Z,long
19,R20,2022-05-14T22:28:38.604Z,healthy
19,R20,2022-05-14T22:28:38.604Z,hair
19,R20,2022-05-14T22:28:38.604Z,nothing
19,R20,2022-05-14T22:28:38.604Z,even
19,R20,2022-05-14T22:28:38.604Z,used
19,R20,2022-05-14T22:28:38.604Z,felt
19,R20,2022-05-14T22:28:38.604Z,made
19,R20,2022-05-14T22:28:38.604Z,hair
19,R20,2022-05-14T22:28:38.604Z,hard
19,R20,2022-05-14T22:28:38.604Z,untangle
19,R20,2022-05-14T22:28:38.604Z,wouldnt
19,R20,2022-05-14T22:28:38.604Z,buy
20,R21,2022-04-11T23:10:31.257Z,love
20,R21,2022-04-11T23:10:31.257Z,shampoo
20,R21,2022-04-11T23:10:31.257Z,conditioner
20,R21,2022-04-11T23:10:31.257Z,line
20,R21,2022-04-11T23:10:31.257Z,however
20,R21,2022-04-11T23:10:31.257Z,mask
20,R21,2022-04-11T23:10:31.257Z,makes
20,R21,2022-04-11T23:10:31.257Z,hair
20,R21,2022-04-11T23:10:31.257Z,feel
20,R21,2022-04-11T23:10:31.257Z,like
20,R21,2022-04-11T23:10:31.257Z,straw
20,R21,2022-04-11T23:10:31.257Z,use
21,R22,2022-04-11T23:10:31.257Z,old
21,R22,2022-04-11T23:10:31.257Z,regular
21,R22,2022-04-11T23:10:31.257Z,conditioner
21,R22,2022-04-11T23:10:31.257Z,expecting
21,R22,2022-04-11T23:10:31.257Z,super
21,R22,2022-04-11T23:10:31.257Z,silky
21,R22,2022-04-11T23:10:31.257Z,detangled
21,R22,2022-04-11T23:10:31.257Z,nothing
21,R22,2022-04-11T23:10:31.257Z,ordinary
21,R22,2022-04-11T23:10:31.257Z,smell
21,R22,2022-04-11T23:10:31.257Z,like
21,R22,2022-04-11T23:10:31.257Z,old
21,R22,2022-04-11T23:10:31.257Z,lady
21,R22,2022-04-11T23:10:31.257Z,product
22,R23,2022-04-11T23:10:31.257Z,absolutely
22,R23,2022-04-11T23:10:31.257Z,love
22,R23,2022-04-11T23:10:31.257Z,product
22,R23,2022-04-11T23:10:31.257Z,light
22,R23,2022-04-11T23:10:31.257Z,hair
22,R23,2022-04-11T23:10:31.257Z,weight
22,R23,2022-04-11T23:10:31.257Z,leaves
22,R23,2022-04-11T23:10:31.257Z,hair
22,R23,2022-04-11T23:10:31.257Z,silky
22,R23,2022-04-11T23:10:31.257Z,fresh
23,R24,2022-04-11T23:10:31.257Z,really
23,R24,2022-04-11T23:10:31.257Z,wish
23,R24,2022-04-11T23:10:31.257Z,could
23,R24,2022-04-11T23:10:31.257Z,return
23,R24,2022-04-11T23:10:31.257Z,products
23,R24,2022-04-11T23:10:31.257Z,made
23,R24,2022-04-11T23:10:31.257Z,hair
23,R24,2022-04-11T23:10:31.257Z,dry
23,R24,2022-04-11T23:10:31.257Z,really
23,R24,2022-04-11T23:10:31.257Z,expecting
23,R24,2022-04-11T23:10:31.257Z,better
23,R24,2022-04-11T23:10:31.257Z,product
23,R24,2022-04-11T23:10:31.257Z,considering
23,R24,2022-04-11T23:10:31.257Z,cost
24,R25,2022-04-11T23:10:31.257Z,im
24,R25,2022-04-11T23:10:31.257Z,traumatized
24,R25,2022-04-11T23:10:31.257Z,one
24,R25,2022-04-11T23:10:31.257Z,use
24,R25,2022-04-11T23:10:31.257Z,long
24,R25,2022-04-11T23:10:31.257Z,curly
24,R25,2022-04-11T23:10:31.257Z,hair
24,R25,2022-04-11T23:10:31.257Z,brush
24,R25,2022-04-11T23:10:31.257Z,shower
24,R25,2022-04-11T23:10:31.257Z,believe
24,R25,2022-04-11T23:10:31.257Z,long
24,R25,2022-04-11T23:10:31.257Z,took
24,R25,2022-04-11T23:10:31.257Z,comb
24,R25,2022-04-11T23:10:31.257Z,tangles
24,R25,2022-04-11T23:10:31.257Z,product
24,R25,2022-04-11T23:10:31.257Z,hair
24,R25,2022-04-11T23:10:31.257Z,zero
24,R25,2022-04-11T23:10:31.257Z,slip
24,R25,2022-04-11T23:10:31.257Z,bad
24,R25,2022-04-11T23:10:31.257Z,im
24,R25,2022-04-11T23:10:31.257Z,willing
24,R25,2022-04-11T23:10:31.257Z,give
24,R25,2022-04-11T23:10:31.257Z,another
24,R25,2022-04-11T23:10:31.257Z,try
25,R26,2022-04-11T23:10:31.257Z,best
25,R26,2022-04-11T23:10:31.257Z,deep
25,R26,2022-04-11T23:10:31.257Z,conditioning
25,R26,2022-04-11T23:10:31.257Z,mask
25,R26,2022-04-11T23:10:31.257Z,replenish
25,R26,2022-04-11T23:10:31.257Z,moisture
25,R26,2022-04-11T23:10:31.257Z,hair
25,R26,2022-04-11T23:10:31.257Z,color
25,R26,2022-04-11T23:10:31.257Z,treated
25,R26,2022-04-11T23:10:31.257Z,hair
25,R26,2022-04-11T23:10:31.257Z,helps
25,R26,2022-04-11T23:10:31.257Z,keep
25,R26,2022-04-11T23:10:31.257Z,healthy
25,R26,2022-04-11T23:10:31.257Z,feeling
25,R26,2022-04-11T23:10:31.257Z,soft
25,R26,2022-04-11T23:10:31.257Z,bit
25,R26,2022-04-11T23:10:31.257Z,expensive
25,R26,2022-04-11T23:10:31.257Z,full
25,R26,2022-04-11T23:10:31.257Z,size
25,R26,2022-04-11T23:10:31.257Z,bottle
25,R26,2022-04-11T23:10:31.257Z,little
25,R26,2022-04-11T23:10:31.257Z,goes
25,R26,2022-04-11T23:10:31.257Z,long
25,R26,2022-04-11T23:10:31.257Z,way
25,R26,2022-04-11T23:10:31.257Z,last
25,R26,2022-04-11T23:10:31.257Z,long
25,R26,2022-04-11T23:10:31.257Z,time
26,R27,2022-04-11T23:10:31.257Z,favorite
26,R27,2022-04-11T23:10:31.257Z,didnt
26,R27,2022-04-11T23:10:31.257Z,really
26,R27,2022-04-11T23:10:31.257Z,much
26,R27,2022-04-11T23:10:31.257Z,hair
26,R27,2022-04-11T23:10:31.257Z,sadly
26,R27,2022-04-11T23:10:31.257Z,use
26,R27,2022-04-11T23:10:31.257Z,times
26,R27,2022-04-11T23:10:31.257Z,used
26,R27,2022-04-11T23:10:31.257Z,almost
26,R27,2022-04-11T23:10:31.257Z,whole
26,R27,2022-04-11T23:10:31.257Z,thing
26,R27,2022-04-11T23:10:31.257Z,wont
26,R27,2022-04-11T23:10:31.257Z,repurchase
27,R28,2022-04-11T23:10:31.257Z,smells
27,R28,2022-04-11T23:10:31.257Z,great
27,R28,2022-04-11T23:10:31.257Z,left
27,R28,2022-04-11T23:10:31.257Z,hair
27,R28,2022-04-11T23:10:31.257Z,feeling
27,R28,2022-04-11T23:10:31.257Z,super
27,R28,2022-04-11T23:10:31.257Z,soft
27,R28,2022-04-11T23:10:31.257Z,im
27,R28,2022-04-11T23:10:31.257Z,super
27,R28,2022-04-11T23:10:31.257Z,skeptical
27,R28,2022-04-11T23:10:31.257Z,hair
27,R28,2022-04-11T23:10:31.257Z,masks
27,R28,2022-04-11T23:10:31.257Z,actually
27,R28,2022-04-11T23:10:31.257Z,making
